CLIENTE;BOCA;FRECUENCIASEMANAL;INTENSIDADXFRECUENCIA
9;VEA437;2;1
9;VEA434;2;1
9;VEA114;2;1
9;VEA475;2;1
9;VEA466;2;1
9;VEA455;2;1
9;VEA479;1;1
9;VEA476;1;1
9;VEA432;2;1
9;VEA472;2;1
9;VEA479;2;1
9;VEA195;2;1
9;VEA113;2;1
9;VEA463;2;1
9;VEA943;1;1
9;VEA187;2;1
9;VEA399;2;1
9;VEA68;2;1
9;VEA1;2;1
9;VEA189;2;1
9;VEA180;2;1
9;VEA398;2;1
9;VEA192;2;1
9;VEA855;2;1
9;VEA190;2;1
9;VEA184;2;1
9;VEA66;2;1
9;VEA183;2;1
9;VEA15;2;1
9;VEA220;2;1
9;VEA5;2;1
9;VEA179;2;1
9;VEA34;2;1
9;VEA63;2;1
9;VEA14;2;1
9;VEA3;2;1
9;VEA21;2;1
9;VEA175;2;1
9;VEA25;2;1
9;VEA53;2;1
9;VEA55;2;1
9;VEA50;2;1
9;VEA5;2;1
9;WMT1014;2;1
9;WMT1016;2;1
9;WMT1017;2;1
9;WMT1018;2;1
9;WMT1043;2;1
9;WMT2997;4;1
9;WMT2999;3;1
9;WMT3601;3;1
9;WMT3603;3;1
9;WMT3604;3;1
9;WMT1010;2;1
9;WMT3605;2;1
9;WMT3606;2;1
9;WMT3613;2;1
9;WMT1005;2;1
9;CHM1028;1;1
9;CHM1110;1;1
9;CHM1059;2;1
9;CHM1045;1;1
9;CHM1050;1;1
9;CHM1076;1;1
9;CHM1032;1;1
9;CHM1119;1;1
9;CHM1029;1;1
9;CHM1036;2;1
9;CHM1037;1;1
9;CHM1013;2;1
9;WMT1096;2;1
9;WMT1087;3;1
9;WMT1004;4;1
9;WMT2998;3;1
9;MKO23;2;1
